Zone Number,Zone Type Description,Zone Type,Xcoords-TopLeft,Zcoords-TopLeft,XCoords-BotRight,ZCoords-BotRight,Number of Green,Number of Yellow
1,Room,3,-2088.5,142.5,-2095.5,150.5,0,0
2,Hallway,1,-2088.5,150.5,-2095.5,155.5,0,0
3,Hallway,1,-2081.5,151.5,-2088.5,155.5,0,0
4,Room,3,-2083.5,142.5,-2088.5,151.5,0,1
5,Hallway,1,-2072.5,151.5,-2081.5,155.5,0,0
6,Room,3,-2074.5,142.5,-2083.5,151.5,1,1
7,Entrance,2,-2076.5,155.5,-2095.5,158.5,0,0
8,Room,3,-2076.5,158.5,-2081.5,162.5,0,1
9,Room,3,-2076.5,162.5,-2081.5,166.5,0,0
10,Room,3,-2076.5,166.5,-2081.5,170.5,0,0
11,Room,3,-2076.5,170.5,-2081.5,175.5,1,0
12,Entrance,2,-2076.5,175.5,-2095.5,178.5,0,0
13,Room,3,-2090.5,171.5,-2095.5,175.5,0,0
14,Room,3,-2090.5,167.5,-2095.5,171.5,0,1
15,Room,3,-2090.5,163.5,-2095.5,167.5,0,0
16,Room,3,-2090.5,158.5,-2095.5,163.5,0,0
17,Room,3,-2081.5,158.5,-2090.5,162.5,0,0
18,Room,3,-2081.5,162.5,-2090.5,166.5,0,0
19,Room,3,-2081.5,166.5,-2090.5,170.5,0,0
20,Room,3,-2081.5,170.5,-2090.5,175.5,0,0
21,Hallway,1,-2077.5,178.5,-2108.5,182.5,0,0
22,Entrance,2,-2078.5,182.5,-2080.5,192.5,0,0
23,Room,3,-2071.5,182.5,-2078.5,192.5,2,0
24,Entrance,2,-2087.5,182.5,-2089.5,192.5,0,0
25,Room,3,-2080.5,182.5,-2087.5,192.5,0,0
26,Entrance,2,-2097.5,182.5,-2099.5,192.5,0,0
27,Room,3,-2089.5,182.5,-2096.5,192.5,0,0
28,Entrance,2,-2105.5,182.5,-2108.5,192.5,0,0
29,Room,3,-2099.5,182.5,-2105.5,192.5,1,1
30,Hallway,1,-2072.5,155.5,-2076.5,182.5,0,0
31,Entrance,2,-2072.5,142.5,-2074.5,151.5,0,0
32,Room,3,-2058.5,142.5,-2072.5,151.5,0,0
33,Hallway,1,-2061.5,151.5,-2072.5,155.5,0,0
34,Room,3,-2065.5,155.5,-2070.5,159.5,0,0
35,Entrance,2,-2065.5,160.5,-2072.5,162.5,0,0
36,Room,3,-2065.5,162.5,-2067.5,168.5,0,0
37,Room,3,-2067.5,162.5,-2072.5,165.5,1,0
38,Room,3,-2067.5,166.5,-2072.5,168.5,1,0
39,Entrance,2,-2064.5,169.5,-2072.5,171.5,0,0
40,Room,3,-2065.5,171.5,-2067.5,177.5,0,0
41,Room,3,-2067.5,171.5,-2072.5,174.5,0,0
42,Room,3,-2067.5,175.5,-2072.5,177.5,0,0
43,Hallway,1,-2054.5,178.5,-2072.5,183.5,0,0
44,Entrance,2,-2069.5,182.5,-2071.5,192.5,0,0
45,Room,3,-2063.5,182.5,-2069.5,192.5,2,1
46,Entrance,2,-2060.5,182.5,-2063.5,192.5,0,0
47,Room,3,-2054.5,182.5,-2060.5,192.5,0,0
48,Room,3,-2054.5,167.5,-2064.5,177.5,1,0
49,Hallway,1,-2050.5,155.5,-2054.5,178.5,0,0
50,Room,3,-2054.5,155.5,-2063.5,166.5,2,1
51,Hallway,1,-2050.5,151.5,-2060.5,155.5,0,0
52,Entrance,2,-2055.5,142.5,-2058.5,151.5,0,0
53,Room,3,-2043.5,142.5,-2055.5,151.5,1,0
54,Hallway,1,-2050.5,178.5,-2054.5,182.5,0,0
55,Entrance,2,-2050.5,182.5,-2054.5,192.5,0,0
56,Room,3,-2044.5,182.5,-2050.5,192.5,1,0
57,Hallway,1,-2040.5,151.5,-2050.5,155.5,0,0
58,Room,3,-2040.5,155.5,-2050.5,178.5,2,2
59,Hallway,1,-2040.5,178.5,-2050.5,182.5,0,0
60,Entrance,2,-2042.5,182.5,-2044.5,192.5,0,0
61,Room,3,-2035.5,182.5,-2042.5,192.5,1,0
62,Entrance,2,-2039.5,142.5,-2043.5,151.5,0,0
63,Hallway,1,-2036.5,151.5,-2040.5,164.5,0,0
64,Hallway,1,-2036.5,165.5,-2040.5,178.5,0,0
65,Hallway,1,-2027.5,178.5,-2040.5,182.5,0,0
66,Room,3,-2035.5,142.5,-2039.5,151.5,0,0
67,Room,3,-2027.5,142.5,-2035.5,158.5,0,0
68,Room,3,-2027.5,160.5,-2035.5,166.5,0,0
69,Entrance,2,-2027.5,166.5,-2036.5,168.5,0,0
70,Room,3,-2027.5,169.5,-2033.5,177.5,2,1
71,Entrance,2,-2033.5,169.5,-2035.5,178.5,0,0
72,Entrance,2,-2033.5,182.5,-2035.5,192.5,0,0
73,Room,3,-2027.5,183.5,-2033.5,192.5,0,0
74,Room,3,-2018.5,142.5,-2027.5,159.5,1,0
